вид спорта,процент вилки,время жизни вилки,название противоположной бк,команда 1,команда 2,вид ставки,коэффициент на Bet365,количество инициаторов у Bet365,коэффициент противоположной БК,количество инициаторов противоположной БК,кто является инициатором
Киберфутбол,15.91,3 сек,Unibet,Belgium (Dimqaa) Esports,Italy (Void) Esports,1,1.53,3,5.12,2,0
Киберфутбол,7.14,28 сек,Unibet,Belgium (Dimqaa) Esports,Italy (Void) Esports,12,1.2512,12,7.51,1,Bet365
Киберфутбол,3.31,56 сек,Unibet,Belgium (Dimqaa) Esports,Italy (Void) Esports,1X,1.19,9,171,1,Bet365
Киберфутбол,0,1 сек,Favbet,Netherlands (WeeMan) Esports,Spain (praym) Esports,Гола не будет(2),21,1,26,6,Favbet
Киберфутбол,2.33,2 сек,Fonbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,Обе команды забьют,1.6671,1,2.652,2,0
Киберфутбол,3.74,13 сек,Favbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,Тб(3),1.9251,1,2.251,1,0
Киберфутбол,0.57,1 сек,Fonbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,Команда2 Тб(1.5),2.11,1,1.933,3,0
Киберфутбол,7.44,27 сек,Favbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,Тб(2.5),2.11,1,2.25,5,Favbet
Киберфутбол,8.58,0 сек,Favbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,Тб(2),1.951,1,2.454,4,Favbet
Киберфутбол,0.49,0 сек,Favbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,Тб(1.75),1.851,1,2.21,1,0
Киберфутбол,10.61,4 сек,Betcity,Belgium (Dimqaa) Esports,Spain (praym) Esports,Ф2(1),1.9251,1,2.63,3,0
Киберфутбол,1.32,24 сек,Favbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,X2,2.6251,1,1.656,6,Favbet
Киберфутбол,6.98,7 сек,Favbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,Тб(3.5),21,1,2.34,4,Favbet
Киберфутбол,3.07,1 сек,Unibet,Italy (Void) Esports,Argentina (Oolancer) Esports,Тм(3.5),1.6671,1,2.711,11,0
Киберфутбол,4.67,2 сек,Favbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,12,1.5331,1,3.32,2,0
Киберфутбол,7.51,15 сек,Favbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,12,1.8333,3,2.63,3,0
Киберфутбол,3.11,35 сек,Favbet,Belgium (Dimqaa) Esports,Spain (praym) Esports,2,3.41,1,1.488,8,Favbet
Киберфутбол,5.54,24 сек,Betcity,Belgium (Dimqaa) Esports,Spain (praym) Esports,1,6.57,7,1.264,4,Bet365
Киберфутбол,0,2 сек,Mostbet,Italy (Void) Esports,Argentina (Oolancer) Esports,Гола не будет(4),3.52,2,1.42,2,0
Киберфутбол,1.3,2 сек,Betcity,Italy (Void) Esports,Netherlands (WeeMan) Esports,Тб(2.5),1.7271,1,2.453,3,0
Киберфутбол,0.84,4 сек,Betcity,Italy (Void) Esports,Netherlands (WeeMan) Esports,Команда1 Тб(1.5),2.51,1,1.692,2,0
Киберфутбол,1.09,13 сек,Betcity,Belgium (Dimqaa) Esports,Argentina (Oolancer) Esports,Команда2 Тб(2.5),2.3751,1,1.761,1,0
Киберфутбол,3.85,39 сек,Betcity,Italy (Void) Esports,Netherlands (WeeMan) Esports,Тб(2.25),1.9751,1,2.194,4,Betcity
Киберфутбол,27.92,4 сек,Unibet,Belgium (Dimqaa) Esports,Argentina (Oolancer) Esports,Г1(2),34,4,2.233,3,0
Киберфутбол,2.26,19 сек,Betcity,Italy (Void) Esports,Netherlands (WeeMan) Esports,Тб(3),1.951,1,2.153,3,0
Киберфутбол,0.79,1 сек,Unibet,Belgium (Dimqaa) Esports,Argentina (Oolancer) Esports,Тб(3.5),2.21,1,1.868,8,Unibet
Киберфутбол,5.49,0 сек,Favbet,Belgium (Dimqaa) Esports,Argentina (Oolancer) Esports,Тб(3),1.8251,1,2.54,4,Favbet
Киберфутбол,1.93,2 сек,Favbet,Belgium (Dimqaa) Esports,Argentina (Oolancer) Esports,Тб(2.5),1.82,2,2.355,5,Favbet
Киберфутбол,0.27,0 сек,Fonbet,Belgium (Dimqaa) Esports,Argentina (Oolancer) Esports,Гола не будет(3),3.252,2,1.452,2,0
Киберфутбол,1.27,1 сек,Unibet,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Тб(5.5),1.5711,1,2.856,6,Unibet
Киберфутбол,6.78,23 сек,Betcity,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Команда2 Тб(5.5),2.6251,1,1.83,3,0
Киберфутбол,0,7 сек,Olimp,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Г2(-4),2.254,4,1.82,2,0
Киберфутбол,15.53,14 сек,Unibet,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Г2(-5),3.44,4,1.752,2,0
Киберфутбол,14.48,10 сек,Betcity,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Ф2(-4.75),1.92,2,2.882,2,0
Киберфутбол,8.05,1 сек,Favbet,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Тб(6.5),21,1,2.359,9,Favbet
Киберфутбол,30.95,11 сек,Betcity,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Г2(-6),2.56,6,2.754,4,0
Киберфутбол,12.85,23 сек,Favbet,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Тб(7.5),2.3751,1,2.158,8,Favbet
Киберфутбол,16.17,21 сек,Betcity,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Ф2(-6.25),2.18,8,2.69,9,0
Киберфутбол,30.32,13 сек,Betcity,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Ф2(-6),1.652,2,6.22,2,0
Киберфутбол,8.12,0 сек,Betcity,Netherlands (WeeMan) Esports,Argentina (Oolancer) Esports,Тб(6.75),1.6752,2,3.053,3,0
Киберфутбол,2.16,3 сек,Betcity,Netherlands (WeeMan) Esports,Belgium (Dimqaa) Esports,Команда2 Тб(1.5),3.255,5,1.492,2,Bet365
Киберфутбол,0.02,1 сек,Favbet,Netherlands (WeeMan) Esports,Belgium (Dimqaa) Esports,12,1.3641,1,3.754,4,Favbet
Киберфутбол,4.29,28 сек,Olimp,Spain (praym) Esports,Argentina (Oolancer) Esports,Г2(-4),2.753,3,1.682,2,0
Киберфутбол,0.36,3 сек,Betcity,Spain (praym) Esports,Argentina (Oolancer) Esports,Ф2(-3.75),1.7251,1,2.42,2,0
Киберфутбол,3.29,29 сек,Betcity,Spain (praym) Esports,Argentina (Oolancer) Esports,Тб(5.5),2.53,3,1.764,4,0
Киберфутбол,0.49,1 сек,Betcity,Spain (praym) Esports,Argentina (Oolancer) Esports,Команда2 Тб(4.5),2.21,1,1.853,3,0
Киберфутбол,1.9,36 сек,Favbet,Spain (praym) Esports,Argentina (Oolancer) Esports,Тб(4.5),1.5711,1,2.98,8,Favbet
Киберфутбол,4.66,9 сек,Unibet,Spain (praym) Esports,Argentina (Oolancer) Esports,Ф2(-4.5),1.95,5,2.336,6,0
Киберфутбол,3.86,0 сек,Betcity,Spain (praym) Esports,Argentina (Oolancer) Esports,Ф2(-4.25),1.7251,1,2.612,2,0
Киберфутбол,0.18,7 сек,Unibet,Netherlands (WeeMan) Esports,Belgium (Dimqaa) Esports,Гола не будет(3),2.6251,1,1.623,3,0
Киберфутбол,0.49,30 сек,1xbet,Im Not Over (PNZ) Esports,CSKONI (CSK) Esports,1X,1.6671,1,2.532,2,0
Киберфутбол,0,3 сек,Favbet,Spain (praym) Esports,Netherlands (WeeMan) Esports,12,1.51,1,32,2,0
Киберфутбол,1.12,1 сек,Betcity,Spain (praym) Esports,Netherlands (WeeMan) Esports,Тб(3),1.7751,1,2.352,2,0
Киберфутбол,2.22,8 сек,Favbet,Spain (praym) Esports,Netherlands (WeeMan) Esports,Тб(2.5),1.4441,1,3.53,3,0
Киберфутбол,0.65,18 сек,1xbet,Im Not Over (PNZ) Esports,CSKONI (CSK) Esports,X,5.51,1,1.2323,3,0
Киберфутбол,2.06,0 сек,Fonbet,Spain (praym) Esports,Netherlands (WeeMan) Esports,1,4.52,2,1.324,4,0
Киберфутбол,0.57,45 сек,1xbet,Xalinho FC (XAL) Esports,Trader FC (TRD) Esports,Команда2 Тб(1.5),2.12,2,1.932,2,0
Киберфутбол,5.34,0 сек,Favbet,Argentina (Oolancer) Esports,Italy (Void) Esports,Гола не будет(6),72,2,1.241,1,0
Киберфутбол,2.7,1 сек,Fonbet,Spain (praym) Esports,Belgium (Dimqaa) Esports,1,7.52,2,1.195,5,Fonbet
Киберфутбол,0.3,2 сек,188bet,Xalinho FC (XAL) Esports,Trader FC (TRD) Esports,Тб(2.5),2.11,1,1.924,4,188bet
Киберфутбол,0.99,3 сек,188bet,Xalinho FC (XAL) Esports,Trader FC (TRD) Esports,Тб(2.25),21,1,2.043,3,0
Киберфутбол,6.82,2 сек,Favbet,Argentina (Oolancer) Esports,Belgium (Dimqaa) Esports,Тм(5),1.9251,1,2.48,8,Favbet
Киберфутбол,15.91,14 сек,Favbet,Argentina (Oolancer) Esports,Belgium (Dimqaa) Esports,Тм(5.5),2.21,1,2.458,8,Favbet
Киберфутбол,7.87,3 сек,Favbet,Argentina (Oolancer) Esports,Belgium (Dimqaa) Esports,Тм(5.75),1.7751,1,2.7513,13,Favbet
Киберфутбол,6.78,0 сек,Betcity,Argentina (Oolancer) Esports,Belgium (Dimqaa) Esports,Команда1 Тб(5.5),2.6251,1,1.82,2,0
Киберфутбол,4.76,28 сек,Betcity,Argentina (Oolancer) Esports,Belgium (Dimqaa) Esports,Г1(-4),2.26,6,22,2,Bet365
Киберфутбол,8.79,0 сек,Betcity,Argentina (Oolancer) Esports,Belgium (Dimqaa) Esports,Ф1(-4),1.81,1,2.752,2,0
Киберфутбол,0.55,0 сек,Fonbet,Netherlands (WeeMan) Esports,Italy (Void) Esports,12,1.52,2,3.054,4,0
Киберфутбол,1.94,2 сек,Favbet,Netherlands (WeeMan) Esports,Italy (Void) Esports,Гола не будет(2),3.751,1,1.46,6,Favbet
Киберфутбол,0,2 сек,Favbet,Argentina (Oolancer) Esports,Belgium (Dimqaa) Esports,Гола не будет(4),51,1,1.252,2,0
Киберфутбол,0.98,2 сек,Favbet,Marseille (praym) Esports,Monaco (Void) Esports,Тм(4.5),1.81,1,2.36,6,Favbet
Киберфутбол,0.57,1 сек,1xbet,Im Not Over (PNZ) Esports,Tahcop73 (TAH) Esports,Тм(8.5),2.11,1,1.933,3,0
Киберфутбол,0.45,1 сек,Favbet,Marseille (praym) Esports,Monaco (Void) Esports,12,1.4446,6,3.32,2,Bet365
Киберфутбол,1.66,0 сек,Favbet,Lille (OoLancer) Esports,Marseille (praym) Esports,Тб(3.5),2.22,2,1.892,2,0
Киберфутбол,1.75,1 сек,Favbet,Lille (OoLancer) Esports,Marseille (praym) Esports,Тб(2.5),1.6151,1,2.752,2,0
Киберфутбол,0.48,2 сек,1xbet,Xalinho FC (XAL) Esports,Confession (CFI) Esports,Команда1 Тб(2.5),2.52,2,1.682,2,0
Киберфутбол,2.72,14 сек,Favbet,Lyon (Dimqaa) Esports,Nice (WeeMan) Esports,Тб(2),1.8251,1,2.354,4,Favbet
Киберфутбол,1.52,12 сек,Betcity,Lille (OoLancer) Esports,Marseille (praym) Esports,Ф1(-1),1.851,1,2.252,2,0
Киберфутбол,3.12,8 сек,Favbet,Lille (OoLancer) Esports,Marseille (praym) Esports,Тб(1.5),1.5331,1,3.153,3,0
Киберфутбол,0,1 сек,Fonbet,Lyon (Dimqaa) Esports,Nice (WeeMan) Esports,12,1.51,1,33,3,0
Киберфутбол,0,0 сек,Betcity,Lyon (Dimqaa) Esports,Nice (WeeMan) Esports,Гола не будет(2),4.3331,1,1.36,6,Betcity
Киберфутбол,1.57,7 сек,Betcity,Lyon (Dimqaa) Esports,Nice (WeeMan) Esports,Тм(2.5),1.6671,1,2.62,2,0
Киберфутбол,1.23,2 сек,Betcity,Lyon (Dimqaa) Esports,Nice (WeeMan) Esports,Тм(2),2.051,1,26,6,Betcity
Киберфутбол,1.32,0 сек,Olimp,Lille (OoLancer) Esports,Marseille (praym) Esports,Гола не будет(3),2.6252,2,1.653,3,0
Киберфутбол,0.12,1 мин 10 сек,1xbet,Trader FC (TRD) Esports,Fints (FIN) Esports,Команда1 Тб(1.5),2.52,2,1.672,2,0
Киберфутбол,1.78,3 сек,1xbet,Trader FC (TRD) Esports,Fints (FIN) Esports,Тб(2.5),1.9092,2,2.183,3,0
Киберфутбол,0.12,0 сек,Pin-up,Trader FC (TRD) Esports,Fints (FIN) Esports,Команда2 Тб(1.5),2.52,2,1.672,2,0
Киберфутбол,0.33,3 сек,1xbet,Trader FC (TRD) Esports,Fints (FIN) Esports,Тб(1.5),1.52,2,3.033,3,0
Киберфутбол,14.32,3 сек,1xbet,Tahcop73 (TAH) Esports,Rattata 522 (NFC) Esports,Тб(3.5),2.21,1,2.384,4,1xbet
Киберфутбол,12.54,32 сек,1xbet,Tahcop73 (TAH) Esports,Rattata 522 (NFC) Esports,Команда1 Тб(1.5),2.6251,1,1.972,2,0
Киберфутбол,11.39,1 сек,1xbet,Tahcop73 (TAH) Esports,Rattata 522 (NFC) Esports,Обе команды забьют,1.6151,1,3.592,2,0
Киберфутбол,5.65,17 сек,1xbet,Tahcop73 (TAH) Esports,Rattata 522 (NFC) Esports,Тб(3.25),1.91,1,2.384,4,1xbet
Киберфутбол,3.57,37 сек,1xbet,Tahcop73 (TAH) Esports,Rattata 522 (NFC) Esports,Команда2 Тб(1.5),1.5711,1,3.042,2,0
Киберфутбол,1.95,0 сек,Betcity,Lyon (Dimqaa) Esports,Marseille (praym) Esports,Команда1 Тб(1.5),2.21,1,1.94,4,Betcity
Киберфутбол,1.3,2 сек,Unibet,Lyon (Dimqaa) Esports,Marseille (praym) Esports,Тб(2.5),1.7271,1,2.453,3,0
Киберфутбол,6.81,0 сек,Unibet,Monaco (Void) Esports,Lille (OoLancer) Esports,Г1(3),2.051,1,2.234,4,Unibet
Киберфутбол,0.89,0 сек,Favbet,Lyon (Dimqaa) Esports,Marseille (praym) Esports,12,1.3332,2,4.152,2,0
Киберфутбол,0.27,2 сек,Olimp,Lyon (Dimqaa) Esports,Marseille (praym) Esports,Команда2 Тб(1.5),3.254,4,1.453,3,0
Киберфутбол,23.08,9 сек,Olimp,Lyon (Dimqaa) Esports,Marseille (praym) Esports,Г2(1),23,3,3.25,5,0
Киберфутбол,2.01,19 сек,Fonbet,Lyon (Dimqaa) Esports,Marseille (praym) Esports,Тб(1.5),1.8336,6,2.32,2,Bet365
Киберфутбол,1.79,23 сек,Favbet,Lyon (Dimqaa) Esports,Marseille (praym) Esports,12,1.4441,1,3.454,4,Favbet
Киберфутбол,1.69,1 сек,Unibet,Monaco (Void) Esports,Lille (OoLancer) Esports,Г2(-2),2.61,1,1.677,7,Unibet
Киберфутбол,19.27,4 сек,Unibet,Monaco (Void) Esports,Lille (OoLancer) Esports,12,1.3642,2,9.53,3,0
Киберфутбол,4.66,24 сек,Betcity,Monaco (Void) Esports,Lille (OoLancer) Esports,Ф2(-0.75),1.91,1,2.332,2,0
Киберфутбол,6.08,32 сек,Betcity,Monaco (Void) Esports,Lille (OoLancer) Esports,2,1.7273,3,2.758,8,Betcity
Киберфутбол,2.13,29 сек,Unibet,Monaco (Void) Esports,Lille (OoLancer) Esports,Ф2(-0.5),1.851,1,2.289,9,Unibet
Киберфутбол,1.66,2 сек,1xbet,Tahcop73 (TAH) Esports,Rattata 522 (NFC) Esports,Тб(3.5),2.21,1,1.892,2,0
Киберфутбол,0.49,13 сек,Betcity,Lyon (Dimqaa) Esports,Lille (OoLancer) Esports,Ф2(-1.75),1.851,1,2.23,3,0
Киберфутбол,0.17,3 сек,Olimp,Monaco (Void) Esports,Nice (WeeMan) Esports,Команда1 Тб(1.5),3.44,4,1.424,4,0
Киберфутбол,0.84,3 сек,Betcity,Monaco (Void) Esports,Nice (WeeMan) Esports,Тб(3.5),2.53,3,1.693,3,0
Киберфутбол,0.27,3 сек,Olimp,Monaco (Void) Esports,Nice (WeeMan) Esports,Г1(1),3.251,1,1.455,5,Olimp
Киберфутбол,3.79,0 сек,Unibet,Monaco (Void) Esports,Nice (WeeMan) Esports,Тб(2.5),1.6675,5,2.755,5,0
Киберфутбол,7.31,12 сек,Betcity,Lyon (Dimqaa) Esports,Lille (OoLancer) Esports,Ф2(-4),1.9751,1,2.352,2,0
Киберфутбол,3.62,16 сек,Betcity,Lyon (Dimqaa) Esports,Lille (OoLancer) Esports,Г2(-4),2.8752,2,1.623,3,0
Киберфутбол,2.07,19 сек,Betcity,Lyon (Dimqaa) Esports,Lille (OoLancer) Esports,Ф2(-3.75),1.7251,1,2.54,4,Betcity
Киберфутбол,0,1 сек,Olimp,Marseille (praym) Esports,Nice (WeeMan) Esports,Г1(1),34,4,1.55,5,0
Киберфутбол,1.48,1 мин 57 сек,1xbet,Rattata 522 (NFC) Esports,Im Not Over (PNZ) Esports,Команда2 Тб(1.5),21,1,2.062,2,0
Киберфутбол,1.16,8 сек,Betcity,Nice (WeeMan) Esports,Monaco (Void) Esports,Команда1 Тб(1.5),3.43,3,1.443,3,0
Киберфутбол,0.94,3 сек,1xbet,Rattata 522 (NFC) Esports,Im Not Over (PNZ) Esports,Тб(3.5),2.6251,1,1.642,2,0
Киберфутбол,3.52,20 сек,Favbet,Lille (OoLancer) Esports,Lyon (Dimqaa) Esports,Гола не будет(4),3.51,1,1.472,2,0
Киберфутбол,4.95,3 сек,Fonbet,Hoffenheim (WeeMan) Esports,Leicester (praym) Esports,Команда1 Тб(1.5),3.251,1,1.554,4,Fonbet
Киберфутбол,7.08,12 сек,Betcity,Roma (Void) Esports,Real Sociedad (OoLancer) Esports,Команда2 Тб(5.5),2.3751,1,1.954,4,Betcity
Киберфутбол,0.84,0 сек,Pin-up,Megapolice (MEG) Esports,Fints (FIN) Esports,Тб(2.5),2.12,2,1.942,2,0
Киберфутбол,5,8 сек,1xbet,Legion (LEG) Esports,Im Not Over (PNZ) Esports,Г1(-2),2.6251,1,1.751,1,0
Киберфутбол,1.08,3 сек,Favbet,Hoffenheim (WeeMan) Esports,Villarreal (Dimqaa) Esports,Гола не будет(4),2.21,1,1.875,5,Favbet
Киберфутбол,15.54,2 сек,Betcity,Leicester (praym) Esports,Hoffenheim (WeeMan) Esports,Команда1 Тб(2.5),2.3751,1,2.255,5,Betcity
Киберфутбол,4.35,3 сек,Unibet,A.Bilbao (OoLancer) Esports,A.Madrid (WeeMan) Esports,X2,81,1,1.23,3,0
Киберфутбол,2.35,3 сек,Unibet,B.M'gladbach (Weeman) Esports,Hoffenheim (OoLancer) Esports,Гола не будет(5),4.3331,1,1.342,2,0
Киберфутбол,0.76,2 сек,1xbet,Dallas Stars (DLS) Esports,Raticate 522 (PSG) Esports,Команда1 Тб(2.5),2.3752,2,1.752,2,0
Киберфутбол,0.56,0 сек,Favbet,B.M'gladbach (Weeman) Esports,RB Leipzig (AlBack) Esports,1,2.6251,1,1.634,4,Favbet
Киберфутбол,11.24,3 сек,Betcity,B.M'gladbach (Weeman) Esports,RB Leipzig (AlBack) Esports,Команда2 Тм(1.5),2.21,1,2.255,5,Betcity
Киберфутбол,20.62,3 сек,Betcity,Dortmund (praym) Esports,Hoffenheim (OoLancer) Esports,Г2(-1),2.254,4,2.64,4,0
Киберфутбол,0.79,1 сек,1xbet,Dallas Stars (DLS) Esports,Raticate 522 (PSG) Esports,Г1(1),2.21,1,1.864,4,1xbet
Киберфутбол,20.62,4 сек,Favbet,Dortmund (praym) Esports,Hoffenheim (OoLancer) Esports,2,2.61,1,2.256,6,Favbet
Киберфутбол,0.59,8 сек,1xbet,Dallas Stars (DLS) Esports,Raticate 522 (PSG) Esports,1X,6.52,2,1.192,2,0
Киберфутбол,3.63,3 сек,Mostbet,Dortmund (praym) Esports,Hoffenheim (OoLancer) Esports,Команда1 Тм(1.5),2.52,2,1.773,3,0
Киберфутбол,1.23,13 сек,Betcity,Dortmund (praym) Esports,Hoffenheim (OoLancer) Esports,Тб(3.5),21,1,2.057,7,Betcity
Киберфутбол,7.27,46 сек,Betcity,Dortmund (praym) Esports,Hoffenheim (OoLancer) Esports,Команда2 Тб(1.5),2.251,1,2.051,1,0
Киберфутбол,1.19,0 сек,1xbet,B.M'gladbach (Weeman) Esports,RB Leipzig (AlBack) Esports,Тм(3.5),2.53,3,1.75,5,0
Киберфутбол,7.38,31 сек,Unibet,Dortmund (praym) Esports,Hoffenheim (OoLancer) Esports,Тм(2.5),2.3756,6,1.967,7,0
Киберфутбол,9.78,1 сек,Betcity,Dortmund (praym) Esports,Hoffenheim (OoLancer) Esports,2,2.61,1,1.98,8,Betcity
Киберфутбол,3.61,19 сек,Betcity,Dortmund (praym) Esports,B.M'gladbach (Weeman) Esports,Тб(2.5),22,2,2.156,6,Betcity
Киберфутбол,0,1 сек,Betcity,Dortmund (praym) Esports,B.M'gladbach (Weeman) Esports,Команда1 Тб(1.5),2.251,1,1.83,3,0
Киберфутбол,0.84,0 сек,Unibet,Bayer 04 (vito) Esports,RB Leipzig (AlBack) Esports,Тб(4.5),2.11,1,1.9410,10,Unibet
Киберфутбол,1.18,2 сек,Mostbet,Bayer 04 (vito) Esports,RB Leipzig (AlBack) Esports,Гола не будет(6),4.3333,3,1.322,2,0
Киберфутбол,1.55,1 сек,Fonbet,Bayer 04 (vito) Esports,RB Leipzig (AlBack) Esports,Гола не будет(7),2.753,3,1.612,2,0
Киберфутбол,1.11,0 сек,1xbet,Rockmen (ROC) Esports,Trader FC (TRD) Esports,Тм(2.5),2.11,1,1.953,3,0
Киберфутбол,0.3,1 сек,Favbet,Hoffenheim (OoLancer) Esports,Bayer 04 (vito) Esports,Тм(4.5),2.11,1,1.927,7,Favbet
Киберфутбол,0,1 сек,Unibet,Hoffenheim (OoLancer) Esports,Bayer 04 (vito) Esports,Г1(1),22,2,27,7,Unibet
Киберфутбол,0,22 сек,Unibet,Hoffenheim (OoLancer) Esports,Bayer 04 (vito) Esports,1X,22,2,28,8,Unibet
Киберфутбол,1.23,18 сек,Unibet,Hoffenheim (OoLancer) Esports,Bayer 04 (vito) Esports,Тм(4.5),21,1,2.056,6,Unibet
Киберфутбол,0.57,11 сек,1xbet,Saturn Rama (SAT) Esports,Dallas Stars (DLS) Esports,Команда1 Тб(1.5),2.12,2,1.932,2,0
Киберфутбол,1.52,0 сек,Favbet,Dortmund (praym) Esports,RB Leipzig (AlBack) Esports,Гола не будет(3),3.51,1,1.433,3,0
Киберфутбол,1.08,2 сек,Unibet,Hoffenheim (OoLancer) Esports,Bayer 04 (vito) Esports,2,2.21,1,1.873,3,0
Киберфутбол,0.59,2 сек,Betcity,Hoffenheim (OoLancer) Esports,Bayer 04 (vito) Esports,1,6.51,1,1.194,4,Betcity
Киберфутбол,5.88,28 сек,Betcity,B.M'gladbach (Weeman) Esports,Bayer 04 (vito) Esports,Команда1 Тб(1.5),2.254,4,23,3,0
Киберфутбол,1.32,8 сек,Betcity,B.M'gladbach (Weeman) Esports,Bayer 04 (vito) Esports,1X,34,4,1.539,9,Betcity
Киберфутбол,1.32,41 сек,Betcity,B.M'gladbach (Weeman) Esports,Bayer 04 (vito) Esports,Г1(1),35,5,1.539,9,Betcity
Киберфутбол,0,14 сек,Betcity,Napoli (indenfor) Esports,Bayer 04 (YOSHI) Esports,Команда1 Тб(1.5),21,1,22,2,0
Киберфутбол,0.27,19 сек,1xbet,Man Utd (SpursMax) Esports,Arsenal (ViTo) Esports,Команда1 Тб(1.5),3.251,1,1.452,2,0
Киберфутбол,0.09,1 сек,1xbet,Man Utd (SpursMax) Esports,Arsenal (ViTo) Esports,Тб(3.5),2.3752,2,1.731,1,0
Киберфутбол,1.72,0 сек,Fonbet,Man Utd (SpursMax) Esports,Arsenal (ViTo) Esports,Обе команды забьют,22,2,2.073,3,0
Киберфутбол,1.72,6 сек,1xbet,Man Utd (SpursMax) Esports,Arsenal (ViTo) Esports,Тб(2.5),21,1,2.073,3,0
Киберфутбол,3.85,11 сек,1xbet,Napoli (indenfor) Esports,Bayer 04 (YOSHI) Esports,Тб(3.5),23,3,2.165,5,0
Киберфутбол,0.12,2 сек,1xbet,Napoli (indenfor) Esports,Bayer 04 (YOSHI) Esports,Команда2 Тб(2.5),2.51,1,1.672,2,0
Киберфутбол,2.52,2 сек,Unibet,Napoli (indenfor) Esports,Bayer 04 (YOSHI) Esports,Тм(2.5),2.21,1,1.927,7,Unibet
Киберфутбол,1.41,2 сек,Favbet,Man Utd (SpursMax) Esports,Arsenal (ViTo) Esports,Гола не будет(2),3.751,1,1.395,5,Favbet
Киберфутбол,2.07,5 сек,Betcity,Man Utd (SpursMax) Esports,Arsenal (ViTo) Esports,2,8.51,1,1.164,4,Betcity
Киберфутбол,4.76,2 сек,Unibet,Tottenham (AlBack) Esports,Bayer 04 (YOSHI) Esports,Тб(4.5),2.21,1,27,7,Unibet
Киберфутбол,1.23,0 сек,Favbet,Tottenham (AlBack) Esports,Bayer 04 (YOSHI) Esports,Тм(3.5),21,1,2.057,7,Favbet
Киберфутбол,2.44,16 сек,Favbet,Napoli (indenfor) Esports,Man Utd (SpursMax) Esports,Тб(5.5),21,1,2.14,4,Favbet
Киберфутбол,0.49,5 сек,1xbet,Tottenham (AlBack) Esports,Bayer 04 (YOSHI) Esports,Тб(3.5),2.21,1,1.853,3,0
Киберфутбол,0.99,3 сек,1xbet,Tottenham (AlBack) Esports,Bayer 04 (YOSHI) Esports,Тб(2.5),24,4,2.044,4,0
Киберфутбол,0,2 сек,Unibet,Tottenham (AlBack) Esports,Bayer 04 (YOSHI) Esports,Гола не будет(2),3.51,1,1.44,4,Unibet
Киберфутбол,2.44,37 сек,Favbet,Tottenham (AlBack) Esports,Arsenal (ViTo) Esports,Тм(6.5),21,1,2.18,8,Favbet
Киберфутбол,2.4,2 сек,Mostbet,Bayer 04 (YOSHI) Esports,Man Utd (SpursMax) Esports,Тб(6.5),2.3751,1,1.86,6,Mostbet
Киберфутбол,1.69,36 сек,Unibet,Bayer 04 (YOSHI) Esports,Man Utd (SpursMax) Esports,Г1(-4),2.6251,1,1.664,4,Unibet
Киберфутбол,0.49,1 сек,Favbet,Bayer 04 (YOSHI) Esports,Man Utd (SpursMax) Esports,Тм(6.5),2.21,1,1.855,5,Favbet
Киберфутбол,0,3 сек,Betcity,Bayer 04 (YOSHI) Esports,Man Utd (SpursMax) Esports,Тб(7.5),21,1,27,7,Betcity
Киберфутбол,0,3 сек,Unibet,Bayer 04 (YOSHI) Esports,Man Utd (SpursMax) Esports,Г1(-3),21,1,27,7,Unibet
Киберфутбол,2.35,0 сек,Favbet,Bayer 04 (YOSHI) Esports,Man Utd (SpursMax) Esports,Гола не будет(6),4.3331,1,1.343,3,0
Киберфутбол,1.52,4 сек,Favbet,Bayer 04 (YOSHI) Esports,Man Utd (SpursMax) Esports,Гола не будет(7),3.51,1,1.432,2,0
Киберфутбол,1.09,3 сек,Betcity,Arsenal (ViTo) Esports,Napoli (indenfor) Esports,Тб(4.5),2.3751,1,1.762,2,0
Киберфутбол,0.86,0 сек,Favbet,Arsenal (ViTo) Esports,Napoli (indenfor) Esports,Гола не будет(4),4.51,1,1.34,4,Favbet
Киберфутбол,2.63,6 сек,1xbet,Tottenham (AlBack) Esports,Man Utd (SpursMax) Esports,Гола не будет(5),3.45,5,1.472,2,Bet365
Киберфутбол,0.48,0 сек,Unibet,Arsenal (ViTo) Esports,Napoli (indenfor) Esports,Гола не будет(5),2.51,1,1.689,9,Unibet
